x_regression,y_regression,x_occurrence,y_occurrence,model_predictors,plot_predictor,species_set
1,0.5,1,0.4,HU_DENS+DIST_WATER,HU_DENS,Top 10
2,0.4,2,0.3,HU_DENS+DIST_WATER,HU_DENS,Top 10
3,0.3,3,0.2,HU_DENS+DIST_WATER,HU_DENS,Top 10
4,0.2,4,0.1,HU_DENS+DIST_WATER,HU_DENS,Top 10
5,0.1,5,0.2,HU_DENS+DIST_WATER,HU_DENS,Top 10
1,0.3,1,0.1,HU_DENS+DIST_WATER,DIST_WATER,Top 10
2,0.4,2,0.2,HU_DENS+DIST_WATER,DIST_WATER,Top 10
3,0.2,3,0.3,HU_DENS+DIST_WATER,DIST_WATER,Top 10
4,0.2,4,0.3,HU_DENS+DIST_WATER,DIST_WATER,Top 10
5,0.4,5,0.3,HU_DENS+DIST_WATER,DIST_WATER,Top 10
